鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
土城區,房地(土地+建物)+車位,新北市土城區學士路２６６號十四樓,26.33,住,,,1070326,土地1建物1車位1,十四層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,174.29000000000002,3,2,2,有,無,17940000,116315,坡道平面,33.38,1550000,,RPVQMLRJKIGGFAF38DA,87.96,7.85,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路２６８號十五樓,17.45,住,,,1070320,土地1建物1車位1,十五層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,126.53999999999999,2,2,1,有,無,12370000,115608,坡道平面,33.38,1600000,預售屋轉讓，轉讓價格新台幣1545萬元正,RPXQMLRJKIGGFAF58DA,56.97,6.52,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路２６８號十六樓,17.45,住,,,1070316,土地1建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,123.80000000000001,2,2,2,有,無,12310000,116037,坡道平面,30.64,1500000,,RPQRMLRJKIGGFAF97DA,56.97,6.52,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區懷德街２號九樓之一,18.25,住,,,1101118,土地1建物1車位1,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840915,209.72000000000003,4,2,2,有,有,30000000,161727,坡道平面,39.68,2500000,其他增建；,RPRRMLRJKIGGFAF08DA,127.27,16.81,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區學士路２６８號十八樓,17.45,住,,,1070325,土地1建物1車位1,十八層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,126.53999999999999,2,2,1,有,無,12440000,116896,坡道平面,33.38,1550000,,RPSRMLRJKIGGFAF18DA,56.97,6.52,0.0,有,
土城區,房地(土地+建物),新北市土城區學士路２６８號二十樓,17.01,住,,,1070226,土地1建物1車位0,二十層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100723,93.16,2,2,1,有,無,10980000,117862,,0.0,0,,RPTRMLRJKIGGFAF28DA,56.97,6.52,0.0,有,
土城區,房地(土地+建物)+車位,新北市土城區明德路一段６８號六樓,24.67,住,,,1101004,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820706,139.32999999999998,3,2,2,有,無,13400000,96175,坡道平面,0.0,0,,RPRQMLNJKIGGFAF57DA,93.02,8.06,0.0,有,
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段３６２號二十六樓之３,6.42,住,,,1101024,土地1建物1車位2,二十六層,四十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨構造,0990715,138.93,4,2,3,有,有,22160000,159516,坡道平面,28.94,0,,RPRUMLRJKIGGFAF38DA,67.77,11.89,0.0,有,
板橋區,房地(土地+建物),新北市板橋區四川路二段１４０巷１６弄１號,22.2,住,,,1101017,土地1建物1車位0,一層，平台,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,,68.28,0,0,0,無,無,9200000,134739,,0.0,0,其他增建；,RPWPMLSJKIGGFAF48DA,68.28,0.0,0.0,無,0007
土城區,房地(土地+建物),新北市土城區延和路１２５巷１８號,32.1,住,,,1101031,土地1建物1車位0,一層，停車場,六層,華廈(10層含以下有電梯),其他,鋼筋混凝土造,0830527,133.25,0,0,0,無,有,18500000,138837,,0.0,0,其他增建；,RPXPMLSJKIGGFAF58DA,95.39,10.08,0.0,有,
板橋區,房地(土地+建物),新北市板橋區懷德街１９１巷２０號二樓,27.8,住,,,1101102,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.96,3,2,1,有,無,11000000,106838,,0.0,0,,RPPRMLSJKIGGFAF97DA,88.16,14.8,0.0,無,
土城區,房地(土地+建物),新北市土城區立德路１２號五樓,36.8,住,,,1101110,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701014,131.22,4,2,2,有,無,12600000,96022,,0.0,0,,RPPNMLTJKIGGFAF67DA,120.19,11.03,0.0,無,
板橋區,土地,府中段1667地號,696.0,都市：其他:道路用地,,,1101109,土地15建物0車位0,,,其他,,,,0.0,0,0,0,有,無,188929342,271450,,0.0,0,包含公共設施保留地用地；,RPOOMLTJKIGGFAF67DA,0.0,0.0,0.0,無,
土城區,房地(土地+建物),新北市土城區中華路二段１７６巷１２號六樓,16.29,工,,,1101023,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住工用,鋼筋混凝土造,0820114,121.59,4,2,2,有,有,13000000,106917,,0.0,0,陽台外推；其他增建；,RPTOMLTJKIGGFAF18DA,97.96,15.54,0.0,有,0008
土城區,房地(土地+建物),新北市土城區慶安街６７號,130.98,住,,,1101024,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0690813,305.28,5,2,3,有,無,30500000,99908,,0.0,0,陽台外推；頂樓加蓋；其他增建；,RPUOMLTJKIGGFAF28DA,305.28,0.0,0.0,無,
板橋區,房地(土地+建物),新北市板橋區中正路３３２號地下室之六,4.97,住,,,1101129,土地1建物1車位0,地下一層,二十一層,住宅大樓(11層含以上有電梯),辦公用,鋼筋混凝土造,0830531,78.12,0,0,0,無,有,2800000,35847,,0.0,0,,RPRNMLKKKIGGFAF07DA,67.55,0.0,0.0,有,0009
板橋區,房地(土地+建物),新北市板橋區忠孝路４８巷４弄６１之２號五樓,26.2,住,,,1101206,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710213,93.19,7,0,7,有,無,11250000,120721,,0.0,0,,RPTPMLKKKIGGFAF47DA,77.78,15.41,0.0,無,0010
新莊區,房地(土地+建物)+車位,新北市新莊區中正路１９５號十三樓,21.46,住,,,1101015,土地1建物1車位1,十三層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1051122,206.76999999999998,3,2,2,有,有,27800000,152687,坡道平面,36.16,1750000,,RPPNMLNLIIGGFBF17DA,100.32,15.25,0.0,有,
五股區,房地(土地+建物)+車位,新北市五股區新城三路７號十樓,8.86,住,,,1101030,土地2建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041112,74.14,1,1,1,有,有,7180000,101390,坡道平面,23.05,2000000,,RPWOMLKMIIGGFBF77DA,31.52,2.94,0.0,有,0011
林口區,房地(土地+建物)+車位,新北市林口區信義路２９９號四樓,10.9,住,,,1101030,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020321,98.17,2,2,1,有,有,9700000,96459,坡道平面,13.16,1500000,,RPTQMLNJJIGGFBF77DA,52.31,6.51,0.0,有,0012
